FIPS,County name,Medicare enrollees (2010),Total Medicare reimbursements per enrollee (Parts A and B) (2010) ASRA,Total Medicare reimbursements per enrollee (Parts A and B) (2010) PASRA,Hospital & skilled nursing facility reimbursements per enrollee (2010) ASRA,Hospital & skilled nursing facility reimbursements per enrollee (2010) PASRA,Physician reimbursements per enrollee (2010) ASRA,Physician reimbursements per enrollee (2010) PASRA,Outpatient facility reimbursements per enrollee (2010) ASRA,Outpatient facility reimbursements per enrollee (2010) PASRA,Home health agency reimbursements per enrollee (2010) ASRA,Home health agency reimbursements per enrollee (2010) PASRA,Hospice reimbursements per enrollee (2010) ASRA,Hospice reimbursements per enrollee (2010) PASRA,Durable medical equipment reimbursements per enrollee (2010) ASRA,Durable medical equipment reimbursements per enrollee (2010) PASRA
40063,OK-Hughes County,"2,107 ","9,085 ","10,178 ","3,873 ","4,568 ","1,900 ","1,964 ","1,294 ","1,429 ","1,534 ","1,675 ",190 ,232 ,332 ,344 
40065,OK-Jackson County,"3,052 ","11,009 ","12,399 ","4,724 ","5,564 ","2,282 ","2,390 ",958 ,"1,062 ","2,363 ","2,608 ",443 ,551 ,327 ,332 
40067,OK-Jefferson County,"1,034 ","10,651 ","11,994 ","5,084 ","5,932 ","1,990 ","2,127 ","1,100 ","1,218 ","1,737 ","1,900 ",,,353 ,359 
40069,OK-Johnston County,"1,569 ","11,694 ","13,097 ","4,815 ","5,574 ","2,297 ","2,428 ","1,031 ","1,144 ","3,099 ","3,444 ",399 ,478 ,322 ,325 
40071,OK-Kay County,"7,079 ","8,357 ","9,362 ","3,699 ","4,264 ","2,105 ","2,238 ","1,081 ","1,195 ",667 ,734 ,530 ,654 ,285 ,289 
40073,OK-Kingfisher County,"1,717 ","10,287 ","11,543 ","4,622 ","5,410 ","2,210 ","2,310 ","1,552 ","1,710 ","1,088 ","1,195 ",546 ,665 ,312 ,313 
40075,OK-Kiowa County,"1,626 ","9,506 ","10,798 ","4,549 ","5,434 ","2,034 ","2,157 ","1,054 ","1,160 ","1,382 ","1,523 ",,,333 ,338 
40077,OK-Latimer County,"1,118 ","11,366 ","12,677 ","4,490 ","5,187 ","2,201 ","2,284 ",907 ,999 ,"3,421 ","3,818 ",,,359 ,366 
40079,OK-Le Flore County,"6,275 ","9,867 ","11,187 ","4,341 ","5,157 ","1,885 ","1,977 ",782 ,864 ,"2,147 ","2,393 ",581 ,688 ,338 ,341 
40081,OK-Lincoln County,"2,992 ","9,509 ","10,444 ","4,226 ","4,837 ","2,155 ","2,255 ",957 ,"1,022 ","1,271 ","1,339 ",700 ,805 ,331 ,336 
40083,OK-Logan County,"3,776 ","9,276 ","10,130 ","4,245 ","4,799 ","1,965 ","2,054 ","1,255 ","1,320 ",831 ,874 ,784 ,896 ,265 ,272 
40085,OK-Love County,"1,337 ","11,792 ","13,148 ","6,047 ","6,868 ","2,075 ","2,185 ","1,633 ","1,817 ","1,415 ","1,575 ",,,294 ,301 
